 nom,prenom,code,Classe,M1,M2,M3,M4,S1,S2,S3,S4
C,Etienne,1,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,2,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,3,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,4,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,5,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,6,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,7,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,8,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,9,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,10,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,11,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,12,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,13,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,14,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,15,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,16,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,17,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,18,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
A,Etienne,19,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
B,Etienne,20,3eme4,S212  M.Polozec,S212  M.Polozec,,S212  M.Polozec,,S212  M.Polozec,S212  M.Polozec,S212  M.Polozec
